# Wide-angle (38-degree) lens. Nakamura.			
# MLD, p. 360"			
# Scaled to 22 mm from 100 mm			
# radius	sep	n	aperture
 163.579	0		1.240  107.8
 53.169	5.529	1.0		81.8
-102.877   23.301	1.317	44.6
 322.991    8.042	1.0		41.6
   0	    3.720	0.0		39.8
 -43.572   10.353	1.317	37.2
 -76.210    6.031	1.0		55.8
# -35.013   18.094	1.317	61.0
 -54.424    5.529	1.0 	81.8
